gene_id,log2FoldChange,pvalue,padj,Regulation
YAL011W,0.820143,1.181242e-5,2.907184e-4,Upregulated
YAL019W,0.6265267,6.802499e-4,0.006366155,Upregulated
YAL024C,0.6560073,0.001045303,0.008759694,Upregulated
YAL035W,0.7560335,1.165828e-4,0.001689772,Upregulated
YAL043C,0.5573487,0.008658156,0.04243,Upregulated
YAL055W,0.5160163,0.008319022,0.04105371,Upregulated
YAR014C,0.5599566,8.213102e-4,0.00733751,Upregulated
YAR042W,0.61111,3.653293e-5,6.842221e-4,Upregulated
YBL004W,0.6179911,0.001472124,0.01149959,Upregulated
YBL006C,0.616129,0.006421808,0.03400283,Upregulated
YBL010C,0.84233,6.915828e-4,0.006425149,Upregulated
YBL023C,0.544883,0.008755737,0.04273404,Upregulated
YBL034C,0.7343563,4.812025e-4,0.004986862,Upregulated
YBL038W,0.7183989,1.35152e-4,0.001882298,Upregulated
YBL039C,0.6772223,0.007939244,0.03965221,Upregulated
YBL046W,0.6203389,0.006714622,0.03502644,Upregulated
YBL052C,0.9718672,3.202196e-7,1.974302e-5,Upregulated
YBL079W,0.7586678,2.937551e-6,1.010485e-4,Upregulated
YBL091C,0.8168826,3.761303e-5,7.023358e-4,Upregulated
YBR001C,0.6740993,6.354282e-4,0.006078604,Upregulated
YBR007C,0.5500388,0.00499654,0.02814175,Upregulated
YBR048W,0.8336677,2.474573e-4,0.003059024,Upregulated
YBR049C,0.6859113,1.494575e-4,0.002046975,Upregulated
YBR083W,0.6494521,0.001167117,0.009499897,Upregulated
YBR108W,0.5449076,0.007382652,0.03778216,Upregulated
YBR121C,0.9970996,1.55522e-5,3.525268e-4,Upregulated
YBR122C,0.6148728,1.428869e-5,3.352719e-4,Upregulated
YBR123C,0.7318663,4.705713e-6,1.413532e-4,Upregulated
YBR142W,0.6645098,0.002422372,0.0166803,Upregulated
YBR143C,0.6606697,0.001358342,0.01078694,Upregulated
YBR156C,1.065185,6.263108e-5,0.001024842,Upregulated
YBR160W,0.6889705,0.006299309,0.03350651,Upregulated
YBR169C,1.171439,7.458115e-7,3.685699e-5,Upregulated
YBR172C,0.741874,4.119368e-4,0.004423874,Upregulated
YBR177C,1.595021,1.114807e-9,1.92552e-7,Upregulated
YBR184W,1.421138,3.193761e-8,3.203033e-6,Upregulated
YBR193C,0.6788647,0.002649559,0.01790756,Upregulated
YBR222C,0.6067292,0.007618536,0.03858688,Upregulated
YBR239C,0.695456,0.001522376,0.0118179,Upregulated
YBR245C,1.125515,3.048554e-10,7.020707e-8,Upregulated
YBR257W,0.5375271,0.005133721,0.02865483,Upregulated
YBR267W,0.8750916,2.996114e-4,0.003541794,Upregulated
YBR273C,0.6601944,0.001425115,0.01125968,Upregulated
YBR275C,1.073967,9.831059e-11,3.056476e-8,Upregulated
YCL014W,0.6210424,5.326717e-5,9.174939e-4,Upregulated
