gene_id,log2FoldChange,pvalue,padj,Regulation
Q0045,4.541325,1.583788e-6,1.723092e-5,Upregulated
Q0070,8.390871,2.6598959999999996e-102,8.104703e-99,Upregulated
Q0250,1.533806,1.132719e-6,1.290241e-5,Upregulated
Q0255,3.536816,1.6970940000000002e-17,1.814402e-15,Upregulated
YAL005C,1.245658,1.253947e-4,7.595975e-4,Upregulated
YAL011W,1.591879,2.618026e-15,2.099243e-13,Upregulated
YAL019W,1.062534,7.538064e-8,1.212057e-6,Upregulated
YAL035W,1.062684,5.235129e-7,6.618854e-6,Upregulated
YAL036C,1.236724,4.153908e-5,2.936649e-4,Upregulated
YAL039C,1.207274,1.043957e-4,6.558631e-4,Upregulated
YAL053W,1.819318,2.449815e-19,3.3929930000000004e-17,Upregulated
YAL055W,1.277392,2.147396e-9,5.131855e-8,Upregulated
YAL059W,1.110309,6.921785e-5,4.59597e-4,Upregulated
YAR042W,1.474893,1.3169699999999999e-21,2.2930329999999997e-19,Upregulated
YBR030W,1.375207,1.536847e-7,2.273191e-6,Upregulated
YBR072W,1.202859,0.002485409,0.009332153,Upregulated
YBR083W,1.014513,2.899179e-6,2.915445e-5,Upregulated
YBR117C,2.217559,3.743544e-7,4.970187e-6,Upregulated
YBR169C,1.337446,2.88284e-7,3.947871e-6,Upregulated
YBR177C,1.036857,1.46795e-4,8.609901e-4,Upregulated
YBR292C,1.073673,1.726885e-4,9.835176e-4,Upregulated
YCL001W-A,1.366112,0.002828962,0.01040416,Upregulated
YCL024W,1.093706,6.113769e-5,4.158182e-4,Upregulated
YCR020C,1.695926,7.666659e-9,1.591494e-7,Upregulated
YCR024C-B,1.112336,2.041291e-4,0.001128823,Upregulated
YCR071C,1.053841,7.608429e-4,0.003447269,Upregulated
YCR086W,1.375214,3.569548e-12,1.686266e-10,Upregulated
YDL022C-A,3.219306,6.313252e-5,4.255858e-4,Upregulated
YDL024C,1.143942,0.00189825,0.0074201,Upregulated
YDL042C,1.320673,9.035697e-7,1.069195e-5,Upregulated
YDL048C,1.569933,2.436205e-8,4.568072e-7,Upregulated
YDL083C,1.02914,0.007364159,0.02281288,Upregulated
YDL101C,1.132946,2.889951e-5,2.119297e-4,Upregulated
YDL181W,1.631976,1.753579e-7,2.54436e-6,Upregulated
YDL208W,1.025928,9.285801e-5,5.947233e-4,Upregulated
YDL239C,1.235675,2.208209e-11,8.795312e-10,Upregulated
YDR014W-A,1.484647,0.001252547,0.005213814,Upregulated
YDR034W-B,1.489597,0.001751362,0.006939401,Upregulated
YDR070C,1.923032,6.563762e-7,8.146552e-6,Upregulated
YDR113C,1.096021,5.796177e-5,3.959854e-4,Upregulated
YDR116C,1.24719,1.607137e-12,8.094124e-11,Upregulated
YDR207C,1.150901,1.864527e-7,2.686154e-6,Upregulated
YDR218C,2.255852,9.844487e-13,5.171751e-11,Upregulated
YDR223W,1.319629,1.212499e-6,1.358266e-5,Upregulated
YDR273W,1.490913,2.711389e-11,1.044182e-9,Upregulated
