gene_id,log2FoldChange,pvalue,padj,Regulation
Q0045,4.541325,1.583788e-6,1.723092e-5,Upregulated
Q0070,8.390871,2.6598959999999996e-102,8.104703e-99,Upregulated
Q0250,1.533806,1.132719e-6,1.290241e-5,Upregulated
Q0255,3.536816,1.6970940000000002e-17,1.814402e-15,Upregulated
YAL005C,1.245658,1.253947e-4,7.595975e-4,Upregulated
YAL009W,0.9954282,0.01312301,0.03670107,Upregulated
YAL011W,1.591879,2.618026e-15,2.099243e-13,Upregulated
YAL013W,0.7862232,1.171631e-4,7.175796e-4,Upregulated
YAL019W,1.062534,7.538064e-8,1.212057e-6,Upregulated
YAL020C,0.9821233,0.001938983,0.007550265,Upregulated
YAL023C,0.7186948,0.008018374,0.0245052,Upregulated
YAL024C,0.9754517,6.945179e-6,6.214966e-5,Upregulated
YAL025C,0.8803886,0.002863441,0.010511940000000001,Upregulated
YAL030W,0.813179,0.001141028,0.004808947,Upregulated
YAL034C,0.9192875,0.01375765,0.03814337,Upregulated
YAL035W,1.062684,5.235129e-7,6.618854e-6,Upregulated
YAL036C,1.236724,4.153908e-5,2.936649e-4,Upregulated
YAL039C,1.207274,1.043957e-4,6.558631e-4,Upregulated
YAL040C,0.7196465,5.575961e-4,0.002660917,Upregulated
YAL041W,0.7185131,2.487414e-5,1.848573e-4,Upregulated
YAL046C,0.9938842,0.01464464,0.04012788,Upregulated
YAL047C,0.668688,0.009886311,0.02903478,Upregulated
YAL053W,1.819318,2.449815e-19,3.3929930000000004e-17,Upregulated
YAL055W,1.277392,2.147396e-9,5.131855e-8,Upregulated
YAL059W,1.110309,6.921785e-5,4.59597e-4,Upregulated
YAR002C-A,0.8491135,5.275374e-4,0.002537343,Upregulated
YAR008W,0.9297721,0.002446532,0.00920319,Upregulated
YAR014C,0.8785244,6.077602e-7,7.605114e-6,Upregulated
YAR042W,1.474893,1.3169699999999999e-21,2.2930329999999997e-19,Upregulated
YBL004W,0.5695599,0.006352343,0.02014109,Upregulated
YBL010C,0.8283945,0.003318349,0.01187634,Upregulated
YBL011W,0.8718741,2.084756e-7,2.968342e-6,Upregulated
YBL024W,0.5813174,0.01195694,0.03403343,Upregulated
YBL034C,0.7802204,6.555615e-4,0.003047286,Upregulated
YBL038W,0.5261207,0.009113773,0.02718519,Upregulated
YBL052C,0.5369944,0.007382517,0.02284098,Upregulated
YBL066C,0.534989,0.00639615,0.02022737,Upregulated
YBL101C,0.6104526,3.461551e-4,0.001777143,Upregulated
YBL113C,0.6913093,0.001806482,0.007134608,Upregulated
YBR001C,0.5986682,0.004810268,0.01612419,Upregulated
YBR030W,1.375207,1.536847e-7,2.273191e-6,Upregulated
YBR045C,0.8580892,0.001512024,0.006151052,Upregulated
YBR049C,0.5618927,0.003461569,0.01224307,Upregulated
YBR069C,0.7819036,0.0033245,0.01188762,Upregulated
YBR072W,1.202859,0.002485409,0.009332153,Upregulated
YBR083W,1.014513,2.899179e-6,2.915445e-5,Upregulated
