gene_id,log2FoldChange,pvalue,padj,Regulation
YBR156C,1.065185,6.263108e-5,0.001024842,Upregulated
YBR169C,1.171439,7.458115e-7,3.685699e-5,Upregulated
YBR177C,1.595021,1.114807e-9,1.92552e-7,Upregulated
YBR184W,1.421138,3.193761e-8,3.203033e-6,Upregulated
YBR245C,1.125515,3.048554e-10,7.020707e-8,Upregulated
YBR275C,1.073967,9.831059e-11,3.056476e-8,Upregulated
YDR113C,1.086467,9.08607e-6,2.354049e-4,Upregulated
YDR218C,1.542733,2.029326e-8,2.253277e-6,Upregulated
YDR440W,1.157395,1.017271e-7,7.713895e-6,Upregulated
YDR507C,1.005423,4.409325e-5,7.927488e-4,Upregulated
YDR515W,1.016116,5.645597e-7,3.05255e-5,Upregulated
YER058W,1.077171,1.394196e-6,5.779409e-5,Upregulated
YER137C,1.128605,9.158865e-6,2.363063e-4,Upregulated
YFL060C,1.025697,4.807742e-4,0.004986862,Upregulated
YGL174W,1.117548,1.907334e-6,7.231587e-5,Upregulated
YHR008C,1.069311,1.276416e-5,3.064384e-4,Upregulated
YHR179W,1.092988,3.326144e-7,1.98865e-5,Upregulated
YIL172C,3.686138,7.750669e-5,0.001220093,Upregulated
YJR112W,1.189679,4.439971e-5,7.933259e-4,Upregulated
YKL101W,1.037803,2.138858e-6,7.916321e-5,Upregulated
YKL113C,1.0847,4.526569e-6,1.386513e-4,Upregulated
YKR037C,1.091197,1.28849e-6,5.413399e-5,Upregulated
YLL022C,1.183199,1.117807e-7,8.030891e-6,Upregulated
YLR019W,1.021747,1.188022e-6,5.025254e-5,Upregulated
YLR032W,1.219791,7.035238e-10,1.272114e-7,Upregulated
YLR272C,1.099145,1.783433e-7,1.179722e-5,Upregulated
YLR394W,1.028535,9.799289e-7,4.415361e-5,Upregulated
YLR407W,1.0177,5.297254e-5,9.174939e-4,Upregulated
YML015C,1.221667,5.156712e-11,2.466495e-8,Upregulated
YML054C,1.048445,2.967232e-4,0.003527773,Upregulated
YMR076C,1.687229,4.780171e-10,9.907701e-8,Upregulated
